time,animal_id,x,y
27,312,406.77,413.91
27,511,371.25,427.6
27,607,390.0,405.02
27,811,444.54,424.42
27,905,365.71,451.18
28,312,406.69,413.78
28,511,371.29,427.61
28,607,390.0,405.0
28,811,444.25,424.75
28,905,365.77,451.22
29,312,406.68,413.62
29,511,371.28,427.69
29,607,390.0,404.97
29,811,443.99,425.04
29,905,365.82,451.22
30,312,406.72,413.45
30,511,371.25,427.7
30,607,390.0,404.92
30,811,443.71,425.38
30,905,365.81,451.2
31,312,406.73,413.3
31,511,371.28,427.67
31,607,390.0,404.86
31,811,443.41,425.71
31,905,365.85,451.16
32,312,406.72,413.13
32,511,371.39,427.63
32,607,390.04,404.71
32,811,443.08,426.03
32,905,365.86,451.09
33,312,406.63,412.96
33,511,371.54,427.52
33,607,390.05,404.59
33,811,442.77,426.35
33,905,365.91,451.01
34,312,406.56,412.77
34,511,371.64,427.44
34,607,390.03,404.49
34,811,442.5,426.64
34,905,365.91,450.93
35,312,406.61,412.65
35,511,371.67,427.37
35,607,389.98,404.41
35,811,442.29,426.84
35,905,365.95,450.84
36,312,406.63,412.61
36,511,371.68,427.37
36,607,389.91,404.37
36,811,442.04,427.22
36,905,365.98,450.75
37,312,406.7,412.63
37,511,371.68,427.36
37,607,389.84,404.28
37,811,441.74,427.57
37,905,366.04,450.63
38,312,406.73,412.66
38,511,371.7,427.33
38,607,389.79,404.2
38,811,441.43,427.93
38,905,366.08,450.56
39,312,406.77,412.64
39,511,371.75,427.27
39,607,389.71,404.14
39,811,441.2,428.28
39,905,366.1,450.54
40,312,406.8,412.62
40,511,371.74,427.24
40,607,389.6,404.09
40,811,441.0,428.51
40,905,366.15,450.52
41,312,406.87,412.6
41,511,371.68,427.25
41,607,389.48,404.07
41,811,440.92,428.7
41,905,366.11,450.58
42,312,406.84,412.64
42,511,371.6,427.33
42,607,389.35,404.08
42,811,440.95,428.83
42,905,366.06,450.73
43,312,406.89,412.65
43,511,371.49,427.42
43,607,389.22,404.12
43,811,440.9,429.01
43,905,365.99,450.86
44,312,406.96,412.61
44,511,371.44,427.44
44,607,389.11,404.12
44,811,440.84,429.09
44,905,365.88,451.05
45,312,406.98,412.57
45,511,371.48,427.42
45,607,389.03,404.12
45,811,440.82,429.32
45,905,365.87,451.22
46,312,406.98,412.43
46,511,371.57,427.37
46,607,388.99,404.12
46,811,440.8,429.41
46,905,365.84,451.37
47,312,406.95,412.23
47,511,371.65,427.29
47,607,388.91,404.12
47,811,440.72,429.73
47,905,365.79,451.47
48,312,406.98,411.99
48,511,371.62,427.26
48,607,388.84,404.16
48,811,440.67,430.0
48,905,365.78,451.54
49,312,406.97,411.8
49,511,371.61,427.25
49,607,388.8,404.17
49,811,440.64,430.29
49,905,365.9,451.56
50,312,406.93,411.64
50,511,371.67,427.25
50,607,388.78,404.14
50,811,440.57,430.71
50,905,366.05,451.58
51,312,406.97,411.51
51,511,371.77,427.19
51,607,388.78,404.1
51,811,440.49,431.11
51,905,366.21,451.5
52,312,407.03,411.36
52,511,371.9,427.12
52,607,388.82,404.03
52,811,440.41,431.63
52,905,366.42,451.37
53,312,407.12,411.24
53,511,371.97,427.03
53,607,388.82,403.95
53,811,440.4,432.09
53,905,366.66,451.23
54,312,407.19,411.15
54,511,372.01,427.01
54,607,388.82,403.87
54,811,440.48,432.41
54,905,366.92,451.09
55,312,407.3,411.15
55,511,372.1,427.02
55,607,388.82,403.82
55,811,440.57,432.73
55,905,367.08,451.01
56,312,407.37,411.18
56,511,372.19,427.06
56,607,388.82,403.78
56,811,440.55,433.11
56,905,367.27,450.96
57,312,407.5,411.16
57,511,372.27,427.06
57,607,388.82,403.69
57,811,440.51,433.45
57,905,367.42,450.96
58,312,407.65,411.2
58,511,372.33,427.1
58,607,388.82,403.6
58,811,440.5,433.79
58,905,367.51,451.0
59,312,407.79,411.14
59,511,372.34,427.11
59,607,388.82,403.45
59,811,440.48,434.29
59,905,367.57,451.01
60,312,407.92,411.04
60,511,372.35,427.08
60,607,388.87,403.3
60,811,440.45,434.75
60,905,367.62,451.03
61,312,408.03,410.91
61,511,372.41,427.04
61,607,388.87,403.1
61,811,440.33,435.29
61,905,367.65,451.07
62,312,408.11,410.75
62,511,372.42,426.97
62,607,388.89,402.92
62,811,440.25,435.72
62,905,367.72,451.11
63,312,408.15,410.63
63,511,372.46,426.9
63,607,388.89,402.63
63,811,440.17,436.19
63,905,367.82,451.16
64,312,408.22,410.47
64,511,372.5,426.81
64,607,388.81,402.29
64,811,440.11,436.66
64,905,367.86,451.18
65,312,408.26,410.3
65,511,372.52,426.72
65,607,388.71,401.94
65,811,440.09,437.16
65,905,367.92,451.17
66,312,408.28,410.12
66,511,372.49,426.68
66,607,388.56,401.59
66,811,440.06,437.73
66,905,367.97,451.15
67,312,408.28,409.91
67,511,372.48,426.6
67,607,388.31,401.27
67,811,440.03,438.24
67,905,367.99,451.2
68,312,408.19,409.81
68,511,372.53,426.52
68,607,388.03,401.02
68,811,440.04,438.64
68,905,367.99,451.26
69,312,408.23,409.75
69,511,372.56,426.42
69,607,387.68,400.86
69,811,440.0,439.13
69,905,367.97,451.34
70,312,408.22,409.66
70,511,372.58,426.34
70,607,387.31,400.68
70,811,439.87,439.66
70,905,367.92,451.38
71,312,408.23,409.6
71,511,372.56,426.27
71,607,386.94,400.56
71,811,439.76,440.18
71,905,367.86,451.47
72,312,408.27,409.58
72,511,372.49,426.22
72,607,386.52,400.53
72,811,439.56,440.83
72,905,367.77,451.58
73,312,408.33,409.52
73,511,372.47,426.13
73,607,386.13,400.54
73,811,439.37,441.5
73,905,367.71,451.7
74,312,408.41,409.47
74,511,372.51,426.05
74,607,385.79,400.62
74,811,439.13,442.13
74,905,367.67,451.83
75,312,408.49,409.45
75,511,372.52,425.97
75,607,385.43,400.67
75,811,438.87,442.69
75,905,367.62,451.91
76,312,408.57,409.45
76,511,372.51,425.9
76,607,385.05,400.83
76,811,438.6,443.29
76,905,367.63,452.06
77,312,408.65,409.52
77,511,372.56,425.86
77,607,384.68,400.95
77,811,438.43,443.85
77,905,367.61,452.13
78,312,408.73,409.51
78,511,372.58,425.83
78,607,384.28,401.02
78,811,438.23,444.38
78,905,367.51,452.19
79,312,408.74,409.46
79,511,372.57,425.84
79,607,383.87,401.15
79,811,438.03,444.87
79,905,367.38,452.31
80,312,408.78,409.38
80,511,372.53,425.88
80,607,383.47,401.22
80,811,437.78,445.52
80,905,367.26,452.39
81,312,408.82,409.29
81,511,372.55,425.88
81,607,383.04,401.33
81,811,437.59,446.08
81,905,367.07,452.5
82,312,408.89,409.25
82,511,372.59,425.88
82,607,382.6,401.4
82,811,437.41,446.65
82,905,366.87,452.63
83,312,409.0,409.16
83,511,372.53,425.88
83,607,382.17,401.39
83,811,437.19,447.28
83,905,366.69,452.75
84,312,408.97,409.07
84,511,372.49,425.88
84,607,381.79,401.36
84,811,436.97,447.95
84,905,366.58,452.85
85,312,409.0,408.99
85,511,372.5,425.88
85,607,381.4,401.38
85,811,436.71,448.67
85,905,366.48,453.01
86,312,409.05,408.91
86,511,372.45,425.88
86,607,380.99,401.42
86,811,436.46,449.44
86,905,366.39,453.15
87,312,409.11,408.84
87,511,372.53,425.88
87,607,380.61,401.45
87,811,436.24,450.26
87,905,366.34,453.28
88,312,409.16,408.8
88,511,372.53,425.88
88,607,380.21,401.48
88,811,435.99,451.12
88,905,366.25,453.34
89,312,409.22,408.78
89,511,372.52,425.88
89,607,379.73,401.51
89,811,435.79,452.09
89,905,366.19,453.4
90,312,409.26,408.78
90,511,372.51,425.88
90,607,379.23,401.6
90,811,435.68,453.16
90,905,366.16,453.57
91,312,409.3,408.82
91,511,372.56,425.88
91,607,378.76,401.6
91,811,435.61,454.29
91,905,366.09,453.62
92,312,409.27,408.82
92,511,372.58,425.88
92,607,378.24,401.61
92,811,435.46,455.59
92,905,366.02,453.69
93,312,409.25,408.87
93,511,372.61,425.88
93,607,377.71,401.71
93,811,435.31,456.87
93,905,365.93,453.71
94,312,409.32,408.87
94,511,372.64,425.88
94,607,377.2,401.77
94,811,435.19,458.25
94,905,365.9,453.69
95,312,409.42,408.85
95,511,372.66,425.88
95,607,376.78,401.9
95,811,435.15,459.58
95,905,365.83,453.66
96,312,409.55,408.84
96,511,372.68,425.88
96,607,376.25,401.93
96,811,435.04,460.97
96,905,365.85,453.66
97,312,409.62,408.79
97,511,372.65,425.88
97,607,375.83,401.97
97,811,434.94,462.26
97,905,365.93,453.67
98,312,409.62,408.69
98,511,372.71,425.88
98,607,375.47,402.04
98,811,434.89,463.54
98,905,366.05,453.69
99,312,409.7,408.55
99,511,372.82,425.88
99,607,375.14,402.16
99,811,434.75,464.71
99,905,366.13,453.73
100,312,409.81,408.4
100,511,372.9,425.88
100,607,374.78,402.33
100,811,434.63,465.83
100,905,366.26,453.76
101,312,409.94,408.24
101,511,373.05,425.88
101,607,374.41,402.52
101,811,434.46,466.93
101,905,366.36,453.75
102,312,410.06,408.07
102,511,373.15,425.92
102,607,374.06,402.67
102,811,434.3,467.91
102,905,366.41,453.77
103,312,410.19,407.92
103,511,373.23,425.93
103,607,373.72,402.85
103,811,434.15,468.91
103,905,366.43,453.89
104,312,410.26,407.83
104,511,373.28,425.91
104,607,373.38,403.04
104,811,433.98,469.88
104,905,366.37,454.05
105,312,410.33,407.69
105,511,373.37,425.86
105,607,373.02,403.21
105,811,433.69,470.84
105,905,366.31,454.18
106,312,410.4,407.6
106,511,373.4,425.8
106,607,372.67,403.43
106,811,433.38,471.72
106,905,366.24,454.31
107,312,410.52,407.57
107,511,373.46,425.72
107,607,372.31,403.59
107,811,433.05,472.45
107,905,366.15,454.42
108,312,410.61,407.58
108,511,373.53,425.63
108,607,371.96,403.76
108,811,432.7,473.15
108,905,366.09,454.5
109,312,410.77,407.58
109,511,373.56,425.54
109,607,371.75,403.91
109,811,432.3,473.85
109,905,366.08,454.54
110,312,410.91,407.59
110,511,373.61,425.46
110,607,371.46,404.02
110,811,431.95,474.45
110,905,366.13,454.62
111,312,411.01,407.54
111,511,373.71,425.38
111,607,371.28,404.12
111,811,431.48,475.03
111,905,366.22,454.69
112,312,411.08,407.48
112,511,373.81,425.31
112,607,371.13,404.21
112,811,431.02,475.53
112,905,366.34,454.73
113,312,411.17,407.41
113,511,373.93,425.27
113,607,371.04,404.37
113,811,430.49,475.98
113,905,366.51,454.75
114,312,411.24,407.33
114,511,374.07,425.25
114,607,370.94,404.52
114,811,429.93,476.48
114,905,366.74,454.75
115,312,411.29,407.26
115,511,374.22,425.25
115,607,370.83,404.63
115,811,429.39,476.97
115,905,366.88,454.66
116,312,411.31,407.2
116,511,374.36,425.29
116,607,370.74,404.74
116,811,428.87,477.45
116,905,366.97,454.66
117,312,411.3,407.15
117,511,374.48,425.29
117,607,370.64,404.87
117,811,428.33,478.06
117,905,366.99,454.64
118,312,411.24,407.16
118,511,374.58,425.29
118,607,370.45,405.04
118,811,427.75,478.66
118,905,366.95,454.68
119,312,411.22,407.08
119,511,374.64,425.29
119,607,370.23,405.2
119,811,427.12,479.33
119,905,366.92,454.76
120,312,411.2,406.99
120,511,374.65,425.29
120,607,370.0,405.39
120,811,426.54,479.9
120,905,366.86,454.89
121,312,411.17,406.95
121,511,374.69,425.29
121,607,369.69,405.58
121,811,425.95,480.44
121,905,366.76,455.04
122,312,411.09,406.95
122,511,374.74,425.29
122,607,369.5,405.84
122,811,425.35,480.99
122,905,366.63,455.21
123,312,411.13,406.92
123,511,374.69,425.29
123,607,369.27,406.06
123,811,424.75,481.54
123,905,366.56,455.38
124,312,411.15,406.94
124,511,374.69,425.29
124,607,369.09,406.29
124,811,424.22,481.93
124,905,366.49,455.55
125,312,411.2,406.93
125,511,374.7,425.29
125,607,368.91,406.51
125,811,423.58,482.36
125,905,366.44,455.66
126,312,411.26,406.91
126,511,374.64,425.29
126,607,368.78,406.77
126,811,422.96,482.67
126,905,366.42,455.77
127,312,411.34,406.87
127,511,374.63,425.29
127,607,368.7,406.97
127,811,422.35,482.95
127,905,366.43,455.88
128,312,411.43,406.83
128,511,374.62,425.29
128,607,368.63,407.16
128,811,421.72,483.22
128,905,366.47,455.97
129,312,411.52,406.78
129,511,374.62,425.29
129,607,368.52,407.27
129,811,421.22,483.49
129,905,366.43,456.02
130,312,411.6,406.74
130,511,374.62,425.29
130,607,368.45,407.44
130,811,420.64,483.7
130,905,366.42,456.09
131,312,411.68,406.7
131,511,374.59,425.29
131,607,368.41,407.59
131,811,419.98,483.95
131,905,366.44,456.13
132,312,411.74,406.68
132,511,374.59,425.29
132,607,368.33,407.79
132,811,419.34,484.17
132,905,366.49,456.18
133,312,411.79,406.6
133,511,374.63,425.29
133,607,368.23,407.92
133,811,418.67,484.39
133,905,366.51,456.26
134,312,411.77,406.49
134,511,374.7,425.29
134,607,368.18,408.13
134,811,418.04,484.52
134,905,366.59,456.36
135,312,411.76,406.44
135,511,374.8,425.29
135,607,368.19,408.34
135,811,417.46,484.73
135,905,366.69,456.47
136,312,411.74,406.42
136,511,374.91,425.29
136,607,368.25,408.55
136,811,416.9,484.9
136,905,366.83,456.58
137,312,411.78,406.43
137,511,374.91,425.29
137,607,368.28,408.68
137,811,416.34,485.06
137,905,366.98,456.68
138,312,411.85,406.51
138,511,375.04,425.29
138,607,368.4,408.88
138,811,415.83,485.2
138,905,367.14,456.72
139,312,411.93,406.48
139,511,375.15,425.29
139,607,368.48,409.08
139,811,415.42,485.36
139,905,367.25,456.76
140,312,412.01,406.45
140,511,375.26,425.29
140,607,368.62,409.25
140,811,414.96,485.49
140,905,367.38,456.87
141,312,412.1,406.47
141,511,375.34,425.29
141,607,368.67,409.38
141,811,414.54,485.57
141,905,367.51,456.99
142,312,412.19,406.45
142,511,375.4,425.29
142,607,368.76,409.53
142,811,414.09,485.72
142,905,367.62,457.12
143,312,412.27,406.42
143,511,375.43,425.29
143,607,368.81,409.6
143,811,413.69,485.84
143,905,367.71,457.25
144,312,412.33,406.36
144,511,375.42,425.29
144,607,368.81,409.73
144,811,413.24,485.86
144,905,367.84,457.36
145,312,412.34,406.3
145,511,375.38,425.29
145,607,368.77,409.86
145,811,412.76,485.85
145,905,367.95,457.44
146,312,412.39,406.18
146,511,375.37,425.25
146,607,368.74,409.94
146,811,412.31,485.82
146,905,368.03,457.44
147,312,412.42,406.09
147,511,375.36,425.25
147,607,368.62,410.02
147,811,411.78,485.7
147,905,368.03,457.51
148,312,412.4,406.08
148,511,375.34,425.27
148,607,368.51,410.16
148,811,411.33,485.5
148,905,368.1,457.64
149,312,412.42,406.07
149,511,375.32,425.31
149,607,368.39,410.28
149,811,410.88,485.36
149,905,368.19,457.7
150,312,412.43,406.06
150,511,375.29,425.38
150,607,368.29,410.42
150,811,410.4,485.08
150,905,368.28,457.76
151,312,412.44,406.05
151,511,375.25,425.46
151,607,368.16,410.56
151,811,409.89,484.86
151,905,368.37,457.81
152,312,412.44,406.06
152,511,375.29,425.54
152,607,368.05,410.73
152,811,409.49,484.63
152,905,368.44,457.83
153,312,412.44,406.01
153,511,375.34,425.63
153,607,367.91,410.94
153,811,409.09,484.35
153,905,368.48,457.91
154,312,412.43,406.02
154,511,375.3,425.72
154,607,367.74,411.13
154,811,408.64,484.09
154,905,368.57,457.99
155,312,412.42,406.01
155,511,375.31,425.76
155,607,367.55,411.36
155,811,408.25,483.81
155,905,368.62,458.06
156,312,412.4,406.02
156,511,375.3,425.81
156,607,367.38,411.55
156,811,407.88,483.54
156,905,368.69,458.13
157,312,412.38,405.97
157,511,375.26,425.88
157,607,367.19,411.76
157,811,407.62,483.23
157,905,368.78,458.14
158,312,412.39,405.99
158,511,375.2,425.95
158,607,366.95,412.0
158,811,407.45,482.93
158,905,368.87,458.17
159,312,412.36,405.99
159,511,375.12,426.01
159,607,366.7,412.26
159,811,407.31,482.67
159,905,368.96,458.2
160,312,412.38,405.96
160,511,375.04,426.05
160,607,366.47,412.52
160,811,407.22,482.44
160,905,368.99,458.23
161,312,412.33,405.95
161,511,374.96,426.09
161,607,366.24,412.8
161,811,407.08,482.13
161,905,369.02,458.29
162,312,412.27,406.0
162,511,374.88,426.17
162,607,365.99,413.09
162,811,406.98,481.8
162,905,369.14,458.39
163,312,412.19,406.03
163,511,374.8,426.28
163,607,365.8,413.32
163,811,406.89,481.55
163,905,369.27,458.46
164,312,412.1,406.07
164,511,374.74,426.41
164,607,365.61,413.62
164,811,406.72,481.25
164,905,369.37,458.55
165,312,412.01,406.12
165,511,374.7,426.54
165,607,365.38,413.87
165,811,406.5,480.97
165,905,369.46,458.7
166,312,411.93,406.17
166,511,374.69,426.62
166,607,365.17,414.12
166,811,406.36,480.68
166,905,369.61,458.83
167,312,411.85,406.26
167,511,374.66,426.72
167,607,364.93,414.41
167,811,406.15,480.45
167,905,369.79,459.02
168,312,411.78,406.27
168,511,374.62,426.87
168,607,364.72,414.67
168,811,405.95,480.2
168,905,369.94,459.25
169,312,411.74,406.31
169,511,374.68,426.96
169,607,364.57,414.94
169,811,405.76,479.92
169,905,370.11,459.48
170,312,411.72,406.38
170,511,374.73,427.08
170,607,364.41,415.17
170,811,405.55,479.66
170,905,370.33,459.7
171,312,411.72,406.33
171,511,374.75,427.18
171,607,364.26,415.36
171,811,405.39,479.36
171,905,370.59,459.89
172,312,411.76,406.35
172,511,374.82,427.21
172,607,364.17,415.53
172,811,405.39,479.13
172,905,370.83,460.11
173,312,411.76,406.32
173,511,374.89,427.23
173,607,364.07,415.72
173,811,405.36,478.83
173,905,371.1,460.3
174,312,411.76,406.28
174,511,375.02,427.25
174,607,364.09,415.89
174,811,405.47,478.49
174,905,371.34,460.45
175,312,411.76,406.22
175,511,375.19,427.24
175,607,364.16,416.0
175,811,405.56,478.12
175,905,371.66,460.53
176,312,411.76,406.22
176,511,375.39,427.29
176,607,364.2,416.11
176,811,405.63,477.74
176,905,371.98,460.62
177,312,411.76,406.23
177,511,375.61,427.33
177,607,364.27,416.14
177,811,405.76,477.42
177,905,372.25,460.66
178,312,411.72,406.26
178,511,375.82,427.38
178,607,364.28,416.21
178,811,405.85,477.03
178,905,372.5,460.64
179,312,411.72,406.31
179,511,375.98,427.41
179,607,364.33,416.28
179,811,405.91,476.67
179,905,372.77,460.63
180,312,411.74,406.37
180,511,376.17,427.39
180,607,364.33,416.41
180,811,406.07,476.36
180,905,373.08,460.59
181,312,411.78,406.48
181,511,376.27,427.51
181,607,364.29,416.54
181,811,406.2,476.19
181,905,373.31,460.59
182,312,411.85,406.5
182,511,376.45,427.65
182,607,364.22,416.66
182,811,406.28,475.99
182,905,373.51,460.59
183,312,411.93,406.55
183,511,376.54,427.72
183,607,364.12,416.73
183,811,406.39,475.8
183,905,373.74,460.59
184,312,412.01,406.45
184,511,376.61,427.72
184,607,363.99,416.8
184,811,406.48,475.63
184,905,373.87,460.59
185,312,412.1,406.38
185,511,376.64,427.72
185,607,363.89,416.87
185,811,406.64,475.38
185,905,374.06,460.59
186,312,412.19,406.29
186,511,376.7,427.71
186,607,363.82,416.99
186,811,406.87,475.13
186,905,374.22,460.59
187,312,412.27,406.26
187,511,376.73,427.76
187,607,363.68,417.12
187,811,407.0,474.83
187,905,374.41,460.59
188,312,412.33,406.22
188,511,376.8,427.82
188,607,363.59,417.25
188,811,407.22,474.59
188,905,374.53,460.59
189,312,412.42,406.17
189,511,376.87,427.89
189,607,363.51,417.36
189,811,407.39,474.37
189,905,374.71,460.59
190,312,412.45,406.12
190,511,376.93,427.96
190,607,363.39,417.44
190,811,407.53,474.14
190,905,374.89,460.63
191,312,412.42,406.03
191,511,376.98,428.03
191,607,363.26,417.48
191,811,407.7,473.91
191,905,375.04,460.64
192,312,412.33,405.98
192,511,377.01,428.05
192,607,363.17,417.56
192,811,407.83,473.63
192,905,375.24,460.61
193,312,412.27,405.97
193,511,377.02,428.09
193,607,363.07,417.63
193,811,407.92,473.4
193,905,375.42,460.57
194,312,412.23,406.01
194,511,377.08,428.15
194,607,362.89,417.63
194,811,408.03,473.21
194,905,375.57,460.5
195,312,412.15,406.09
195,511,377.07,428.28
195,607,362.69,417.65
195,811,408.15,473.03
195,905,375.66,460.42
196,312,412.04,406.13
196,511,377.1,428.37
196,607,362.53,417.66
196,811,408.16,472.85
196,905,375.77,460.34
197,312,411.91,406.17
197,511,377.06,428.4
197,607,362.39,417.67
197,811,408.19,472.59
197,905,375.84,460.25
198,312,411.76,406.2
198,511,377.06,428.44
198,607,362.22,417.69
198,811,408.22,472.31
198,905,375.86,460.16
199,312,411.62,406.3
199,511,377.06,428.55
199,607,362.04,417.76
199,811,408.22,471.98
199,905,375.91,460.09
200,312,411.53,406.34
200,511,377.06,428.64
200,607,361.84,417.87
200,811,408.2,471.69
200,905,375.93,460.02
201,312,411.43,406.45
201,511,377.06,428.78
201,607,361.64,418.01
201,811,408.15,471.41
201,905,375.92,459.97
202,312,411.32,406.5
202,511,377.06,428.94
202,607,361.4,418.16
202,811,408.1,471.15
202,905,375.88,459.95
203,312,411.24,406.52
203,511,377.06,429.12
203,607,361.2,418.31
203,811,408.1,470.88
203,905,375.88,459.96
204,312,411.11,406.51
204,511,377.06,429.3
204,607,360.9,418.42
204,811,408.13,470.66
204,905,375.92,460.0
205,312,410.99,406.47
205,511,377.06,429.45
205,607,360.61,418.55
205,811,408.19,470.44
205,905,375.93,460.0
206,312,410.88,406.47
206,511,377.06,429.53
206,607,360.31,418.68
206,811,408.27,470.27
206,905,375.91,460.0
207,312,410.8,406.47
207,511,377.06,429.68
207,607,359.94,418.8
207,811,408.38,470.22
207,905,375.82,460.0
208,312,410.75,406.47
208,511,377.02,429.84
208,607,359.57,418.85
208,811,408.53,470.16
208,905,375.75,460.0
209,312,410.67,406.47
209,511,377.01,429.98
209,607,359.24,418.96
209,811,408.66,470.11
209,905,375.69,460.0
210,312,410.61,406.47
210,511,377.03,430.11
210,607,359.02,419.1
210,811,408.69,470.05
210,905,375.61,460.0
211,312,410.56,406.47
211,511,377.08,430.19
211,607,358.78,419.22
211,811,408.68,469.96
211,905,375.58,460.0
212,312,410.54,406.47
212,511,377.1,430.26
212,607,358.56,419.33
212,811,408.67,469.82
212,905,375.59,460.0
213,312,410.55,406.47
213,511,377.17,430.33
213,607,358.36,419.49
213,811,408.58,469.57
213,905,375.65,460.04
214,312,410.59,406.47
214,511,377.28,430.4
214,607,358.24,419.64
214,811,408.55,469.42
214,905,375.74,460.05
215,312,410.59,406.47
215,511,377.38,430.52
215,607,358.11,419.78
215,811,408.68,469.36
215,905,375.86,460.03
216,312,410.55,406.47
216,511,377.52,430.65
216,607,357.95,419.84
216,811,408.75,469.21
216,905,376.0,459.98
217,312,410.54,406.47
217,511,377.7,430.78
217,607,357.78,419.91
217,811,408.82,469.03
217,905,376.12,459.91
218,312,410.56,406.47
218,511,377.9,430.89
218,607,357.53,419.95
218,811,408.78,468.69
218,905,376.28,459.84
219,312,410.61,406.47
219,511,378.06,430.97
219,607,357.24,420.05
219,811,408.91,468.5
219,905,376.41,459.75
220,312,410.67,406.47
220,511,378.24,431.01
220,607,356.88,420.13
220,811,408.85,468.18
220,905,376.51,459.66
221,312,410.75,406.47
221,511,378.42,431.09
221,607,356.43,420.2
221,811,408.96,468.03
221,905,376.58,459.58
222,312,410.84,406.47
222,511,378.57,431.16
222,607,355.93,420.25
222,811,409.02,467.77
222,905,376.68,459.5
223,312,410.93,406.51
223,511,378.77,431.2
223,607,355.39,420.34
223,811,408.94,467.49
223,905,376.72,459.43
224,312,411.01,406.52
224,511,378.95,431.18
224,607,354.8,420.42
224,811,408.79,467.17
224,905,376.76,459.34
225,312,411.09,406.5
225,511,379.05,431.17
225,607,354.14,420.46
225,811,408.6,466.81
225,905,376.87,459.31
226,312,411.16,406.45
226,511,379.14,431.15
226,607,353.38,420.52
226,811,408.42,466.46
226,905,376.99,459.34
227,312,411.2,406.39
227,511,379.23,431.2
227,607,352.48,420.59
227,811,408.16,466.04
227,905,377.12,459.43
228,312,411.22,406.27
228,511,379.34,431.26
228,607,351.51,420.66
228,811,408.0,465.75
228,905,377.25,459.5
229,312,411.26,406.21
229,511,379.45,431.34
229,607,350.44,420.71
229,811,407.89,465.52
229,905,377.36,459.58
230,312,411.22,406.15
230,511,379.66,431.43
230,607,349.28,420.75
230,811,407.65,465.11
230,905,377.44,459.66
231,312,411.2,406.09
231,511,379.8,431.47
231,607,348.06,420.84
231,811,407.36,464.71
231,905,377.48,459.75
232,312,411.16,406.03
232,511,379.93,431.55
232,607,346.75,420.89
232,811,407.03,464.29
232,905,377.56,459.88
233,312,411.09,405.98
233,511,380.04,431.65
233,607,345.46,421.01
233,811,406.84,464.01
